Time,num_cases
0,0
0.25,0
0.5,1
0.75,3
1,7
1.25,6
1.5,6
1.75,6
2,3
2.25,6
2.5,6
2.75,5
3,5
3.25,11
3.5,4
3.75,6
4,8
4.25,2
4.5,8
4.75,4
5,4
5.25,9
5.5,7
5.75,7
6,6
6.25,4
6.5,4
6.75,4
7,6
7.25,4
7.5,6
7.75,5
8,4
8.25,8
8.5,6
8.75,2
9,5
9.25,10
9.5,9
9.75,4
10,3
10.25,10
10.5,6
10.75,11
11,8
11.25,6
11.5,6
11.75,7
12,10
12.25,7
12.5,6
12.75,3
13,5
13.25,8
13.5,10
13.75,13
14,12
14.25,8
14.5,14
14.75,15
15,14
15.25,8
15.5,9
15.75,14
16,12
16.25,19
16.5,22
16.75,9
17,13
17.25,15
17.5,23
17.75,20
18,17
18.25,15
18.5,16
18.75,10
19,23
19.25,20
19.5,17
19.75,24
20,15
20.25,11
20.5,12
20.75,20
21,19
21.25,12
21.5,14
21.75,15
22,19
22.25,13
22.5,14
22.75,12
23,11
23.25,19
23.5,14
23.75,7
24,16
24.25,15
24.5,11
24.75,17
25,14
25.25,13
25.5,12
25.75,9
26,13
26.25,16
26.5,25
26.75,10
27,23
27.25,14
27.5,13
27.75,12
28,11
28.25,19
28.5,11
28.75,12
29,11
29.25,10
29.5,17
29.75,12
30,11
30.25,9
30.5,9
30.75,8
31,16
31.25,15
31.5,5
31.75,6
32,11
32.25,11
32.5,12
32.75,12
33,9
33.25,11
33.5,16
33.75,12
34,9
34.25,9
34.5,14
34.75,6
35,11
35.25,11
35.5,12
35.75,7
36,9
36.25,11
36.5,11
36.75,11
37,2
37.25,9
37.5,2
37.75,1
38,7
38.25,4
38.5,7
38.75,10
39,9
39.25,9
39.5,7
39.75,6
40,5
40.25,9
40.5,7
40.75,11
41,6
41.25,9
41.5,11
41.75,7
42,3
42.25,4
42.5,6
42.75,6
43,5
43.25,5
43.5,5
43.75,4
44,5
44.25,10
44.5,2
44.75,4
45,4
45.25,5
45.5,4
45.75,2
46,5
46.25,5
46.5,4
46.75,6
47,7
47.25,1
47.5,4
47.75,7
48,1
48.25,5
48.5,4
48.75,4
49,2
49.25,3
49.5,3
49.75,6
50,6
50.25,4
50.5,3
50.75,5
51,9
51.25,2
51.5,3
51.75,1
52,2
52.25,0
52.5,2
52.75,2
53,3
53.25,1
53.5,4
53.75,4
54,3
54.25,3
54.5,2
54.75,0
55,1
55.25,2
55.5,2
55.75,6
56,3
56.25,0
56.5,6
56.75,3
57,1
57.25,2
57.5,3
57.75,1
58,4
58.25,2
58.5,3
58.75,2
59,1
59.25,1
59.5,2
59.75,3
60,3
60.25,0
60.5,0
60.75,2
61,1
61.25,2
61.5,0
61.75,0
62,1
62.25,2
62.5,2
62.75,1
63,0
63.25,2
63.5,1
63.75,0
64,4
64.25,0
64.5,2
64.75,1
65,0
65.25,1
65.5,1
65.75,2
66,1
66.25,3
66.5,1
66.75,1
67,0
67.25,2
67.5,3
67.75,1
68,1
68.25,0
68.5,0
68.75,2
69,2
69.25,2
69.5,1
69.75,0
70,1
70.25,2
70.5,2
70.75,2
71,0
71.25,3
71.5,1
71.75,1
72,2
72.25,0
72.5,1
72.75,1
73,1
73.25,0
73.5,2
73.75,0
74,2
74.25,0
74.5,1
74.75,1
75,0
75.25,1
75.5,1
75.75,1
76,1
76.25,0
76.5,2
76.75,0
77,1
77.25,0
77.5,0
77.75,0
78,1
78.25,1
78.5,0
78.75,1
79,0
79.25,1
79.5,3
79.75,1
80,1
80.25,0
80.5,0
80.75,0
81,3
81.25,0
81.5,0
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,0
84,0
84.25,0
84.5,0
84.75,1
85,0
85.25,0
85.5,0
85.75,1
86,0
86.25,0
86.5,1
86.75,0
87,0
87.25,0
87.5,0
87.75,1
88,1
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,1
92,1
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,1
98.75,0
99,0
99.25,0
99.5,0
99.75,1
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
