Time,num_cases
0,0
0.25,0
0.5,1
0.75,3
1,8
1.25,8
1.5,6
1.75,2
2,4
2.25,4
2.5,9
2.75,6
3,2
3.25,1
3.5,1
3.75,2
4,1
4.25,4
4.5,3
4.75,5
5,8
5.25,3
5.5,4
5.75,6
6,4
6.25,2
6.5,2
6.75,5
7,5
7.25,2
7.5,5
7.75,1
8,1
8.25,4
8.5,2
8.75,3
9,3
9.25,6
9.5,7
9.75,7
10,2
10.25,6
10.5,6
10.75,4
11,12
11.25,4
11.5,3
11.75,5
12,6
12.25,6
12.5,4
12.75,7
13,1
13.25,4
13.5,3
13.75,13
14,9
14.25,5
14.5,6
14.75,4
15,11
15.25,7
15.5,5
15.75,11
16,6
16.25,11
16.5,11
16.75,10
17,11
17.25,7
17.5,8
17.75,12
18,4
18.25,17
18.5,17
18.75,11
19,16
19.25,14
19.5,18
19.75,16
20,10
20.25,14
20.5,14
20.75,8
21,18
21.25,8
21.5,11
21.75,20
22,14
22.25,8
22.5,18
22.75,17
23,21
23.25,9
23.5,23
23.75,16
24,19
24.25,18
24.5,20
24.75,16
25,7
25.25,13
25.5,21
25.75,23
26,16
26.25,17
26.5,19
26.75,20
27,19
27.25,21
27.5,15
27.75,15
28,18
28.25,16
28.5,20
28.75,18
29,14
29.25,16
29.5,19
29.75,17
30,20
30.25,23
30.5,20
30.75,19
31,15
31.25,15
31.5,16
31.75,22
32,15
32.25,9
32.5,15
32.75,11
33,12
33.25,14
33.5,12
33.75,21
34,21
34.25,12
34.5,17
34.75,22
35,19
35.25,17
35.5,21
35.75,13
36,15
36.25,16
36.5,14
36.75,11
37,21
37.25,16
37.5,15
37.75,16
38,15
38.25,20
38.5,13
38.75,11
39,14
39.25,9
39.5,17
39.75,9
40,9
40.25,22
40.5,13
40.75,10
41,15
41.25,15
41.5,11
41.75,8
42,12
42.25,15
42.5,8
42.75,8
43,9
43.25,13
43.5,9
43.75,14
44,11
44.25,20
44.5,15
44.75,13
45,10
45.25,6
45.5,14
45.75,10
46,7
46.25,7
46.5,11
46.75,7
47,10
47.25,9
47.5,6
47.75,13
48,7
48.25,10
48.5,16
48.75,5
49,15
49.25,7
49.5,8
49.75,8
50,6
50.25,10
50.5,7
50.75,7
51,7
51.25,5
51.5,8
51.75,5
52,5
52.25,10
52.5,9
52.75,11
53,4
53.25,6
53.5,2
53.75,5
54,5
54.25,5
54.5,4
54.75,5
55,5
55.25,7
55.5,3
55.75,4
56,2
56.25,4
56.5,8
56.75,7
57,4
57.25,6
57.5,3
57.75,3
58,6
58.25,3
58.5,3
58.75,6
59,2
59.25,2
59.5,7
59.75,6
60,1
60.25,3
60.5,2
60.75,4
61,5
61.25,1
61.5,5
61.75,3
62,3
62.25,0
62.5,0
62.75,3
63,5
63.25,2
63.5,3
63.75,0
64,1
64.25,2
64.5,4
64.75,2
65,1
65.25,1
65.5,4
65.75,4
66,6
66.25,3
66.5,2
66.75,5
67,3
67.25,2
67.5,3
67.75,2
68,3
68.25,2
68.5,2
68.75,1
69,1
69.25,2
69.5,2
69.75,3
70,2
70.25,4
70.5,0
70.75,1
71,3
71.25,1
71.5,6
71.75,2
72,0
72.25,1
72.5,1
72.75,1
73,0
73.25,3
73.5,2
73.75,1
74,2
74.25,0
74.5,2
74.75,0
75,2
75.25,1
75.5,1
75.75,0
76,2
76.25,0
76.5,1
76.75,1
77,0
77.25,1
77.5,2
77.75,1
78,1
78.25,0
78.5,5
78.75,0
79,2
79.25,1
79.5,0
79.75,0
80,0
80.25,0
80.5,0
80.75,0
81,2
81.25,1
81.5,0
81.75,1
82,1
82.25,0
82.5,0
82.75,0
83,1
83.25,0
83.5,0
83.75,2
84,1
84.25,0
84.5,0
84.75,1
85,0
85.25,0
85.5,0
85.75,1
86,0
86.25,2
86.5,0
86.75,0
87,0
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,0
91.5,0
91.75,0
92,0
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,1
95,1
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
