Time,num_cases
0,0
0.25,0
0.5,1
0.75,3
1,5
1.25,5
1.5,1
1.75,10
2,2
2.25,3
2.5,3
2.75,5
3,3
3.25,3
3.5,7
3.75,5
4,5
4.25,3
4.5,3
4.75,2
5,1
5.25,3
5.5,2
5.75,3
6,5
6.25,4
6.5,5
6.75,4
7,6
7.25,3
7.5,2
7.75,3
8,3
8.25,6
8.5,5
8.75,4
9,3
9.25,4
9.5,3
9.75,3
10,1
10.25,7
10.5,6
10.75,8
11,5
11.25,1
11.5,2
11.75,4
12,8
12.25,2
12.5,8
12.75,4
13,8
13.25,8
13.5,5
13.75,1
14,2
14.25,7
14.5,12
14.75,4
15,7
15.25,8
15.5,12
15.75,8
16,7
16.25,9
16.5,7
16.75,11
17,16
17.25,14
17.5,7
17.75,7
18,16
18.25,9
18.5,17
18.75,14
19,10
19.25,10
19.5,15
19.75,6
20,14
20.25,12
20.5,11
20.75,15
21,14
21.25,14
21.5,7
21.75,9
22,18
22.25,20
22.5,14
22.75,18
23,20
23.25,16
23.5,10
23.75,18
24,19
24.25,18
24.5,15
24.75,24
25,27
25.25,14
25.5,12
25.75,25
26,25
26.25,13
26.5,20
26.75,22
27,19
27.25,24
27.5,17
27.75,27
28,19
28.25,20
28.5,33
28.75,22
29,23
29.25,22
29.5,21
29.75,14
30,36
30.25,18
30.5,23
30.75,20
31,30
31.25,27
31.5,20
31.75,26
32,21
32.25,33
32.5,24
32.75,24
33,24
33.25,24
33.5,19
33.75,22
34,27
34.25,21
34.5,17
34.75,24
35,12
35.25,17
35.5,21
35.75,16
36,17
36.25,23
36.5,9
36.75,26
37,12
37.25,17
37.5,24
37.75,10
38,24
38.25,18
38.5,19
38.75,14
39,18
39.25,15
39.5,22
39.75,13
40,10
40.25,15
40.5,13
40.75,11
41,13
41.25,13
41.5,14
41.75,10
42,7
42.25,16
42.5,10
42.75,6
43,20
43.25,5
43.5,10
43.75,9
44,10
44.25,9
44.5,9
44.75,11
45,10
45.25,7
45.5,15
45.75,4
46,9
46.25,3
46.5,10
46.75,5
47,10
47.25,6
47.5,6
47.75,13
48,10
48.25,14
48.5,7
48.75,5
49,6
49.25,9
49.5,4
49.75,5
50,3
50.25,4
50.5,6
50.75,4
51,8
51.25,4
51.5,2
51.75,5
52,8
52.25,3
52.5,11
52.75,4
53,3
53.25,6
53.5,4
53.75,8
54,1
54.25,3
54.5,1
54.75,4
55,3
55.25,1
55.5,4
55.75,3
56,5
56.25,2
56.5,2
56.75,1
57,5
57.25,2
57.5,3
57.75,1
58,2
58.25,1
58.5,3
58.75,3
59,4
59.25,2
59.5,2
59.75,0
60,2
60.25,2
60.5,3
60.75,3
61,1
61.25,2
61.5,1
61.75,1
62,3
62.25,0
62.5,2
62.75,2
63,3
63.25,4
63.5,0
63.75,1
64,0
64.25,0
64.5,3
64.75,2
65,1
65.25,2
65.5,0
65.75,2
66,2
66.25,2
66.5,2
66.75,3
67,2
67.25,0
67.5,0
67.75,0
68,0
68.25,3
68.5,0
68.75,1
69,3
69.25,0
69.5,2
69.75,0
70,0
70.25,0
70.5,2
70.75,0
71,2
71.25,0
71.5,1
71.75,1
72,1
72.25,1
72.5,0
72.75,1
73,1
73.25,1
73.5,0
73.75,0
74,1
74.25,0
74.5,1
74.75,1
75,0
75.25,0
75.5,0
75.75,1
76,0
76.25,0
76.5,0
76.75,0
77,2
77.25,0
77.5,0
77.75,1
78,1
78.25,1
78.5,0
78.75,0
79,0
79.25,0
79.5,1
79.75,1
80,0
80.25,0
80.5,0
80.75,0
81,1
81.25,0
81.5,1
81.75,0
82,0
82.25,0
82.5,0
82.75,0
83,0
83.25,0
83.5,0
83.75,1
84,0
84.25,1
84.5,0
84.75,0
85,0
85.25,0
85.5,1
85.75,0
86,0
86.25,0
86.5,0
86.75,0
87,1
87.25,0
87.5,0
87.75,0
88,0
88.25,0
88.5,0
88.75,0
89,0
89.25,0
89.5,0
89.75,0
90,0
90.25,0
90.5,0
90.75,0
91,0
91.25,1
91.5,0
91.75,0
92,1
92.25,0
92.5,0
92.75,0
93,0
93.25,0
93.5,0
93.75,0
94,0
94.25,0
94.5,0
94.75,0
95,0
95.25,0
95.5,0
95.75,0
96,0
96.25,0
96.5,0
96.75,0
97,0
97.25,0
97.5,0
97.75,0
98,0
98.25,0
98.5,0
98.75,0
99,0
99.25,0
99.5,0
99.75,0
100,0
100.25,0
100.5,0
100.75,0
101,0
101.25,0
101.5,0
101.75,0
102,0
102.25,0
102.5,0
102.75,0
103,0
103.25,0
103.5,0
103.75,0
104,0
104.25,0
104.5,0
104.75,0
105,0
105.25,0
105.5,0
105.75,0
106,0
106.25,0
106.5,0
106.75,0
107,0
107.25,0
107.5,0
107.75,0
108,0
108.25,0
108.5,0
108.75,0
109,0
109.25,0
109.5,0
109.75,0
110,0
110.25,0
110.5,0
110.75,0
111,0
111.25,0
111.5,0
111.75,0
112,0
112.25,0
112.5,0
112.75,0
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,0
114.75,0
115,0
115.25,0
115.5,0
115.75,0
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,0
118.5,0
118.75,0
119,0
119.25,0
119.5,0
119.75,0
